region,year,mean
Asia,2010,3.767119065
Asia,2011,3.847179423
Asia,2012,3.771157649
Asia,2013,3.677631898
Asia,2014,3.74756154
Europe,2010,5.199830856
Europe,2011,5.126274917
Europe,2012,4.929608117
Europe,2013,4.842910328
Europe,2014,4.795049974
Africa,2010,1.379934032
Africa,2011,1.339058497
Africa,2012,1.301374312
Africa,2013,1.305233678
Africa,2014,1.536232375
Latin America and the Caribbean,2010,2.824776203
Latin America and the Caribbean,2011,2.849942727
Latin America and the Caribbean,2012,2.851656716
Latin America and the Caribbean,2013,2.827979415
Latin America and the Caribbean,2014,2.86066848
Oceania,2010,5.435482275
Oceania,2011,6.000405199
Oceania,2012,5.530316846
Oceania,2013,5.209329996
Oceania,2014,4.210751047
North America,2010,8.607249819
North America,2011,8.458984892
North America,2012,8.225847948
North America,2013,8.552778887
North America,2014,8.207869597
